PRISMA item,n,source_or_calculation
Records identified: Hymenoptera,3371,Unchanged from LiteratureInfo.xlsx / Hymenoptera search sheet row count
Records identified: Diptera,1862,Unchanged from LiteratureInfo.xlsx / Diptera search sheet row count
Records identified: Coleoptera,2181,Unchanged from LiteratureInfo.xlsx / Coleoptera search sheet row count
Records identified: Lepidoptera,2372,Unchanged from LiteratureInfo.xlsx / Lepidoptera search sheet row count
Records identified: total,9786,3371 + 1862 + 2181 + 2372
Duplicate records removed,1065,Recomputed from LiteratureInfo.xlsx as 9786 minus 8721 unique normalised Article Title records; title normalisation lowercases text, removes apostrophes, converts hyphens/dashes to spaces, removes other punctuation and collapses whitespace
Records screened,8721,Unique normalised Article Title records in LiteratureInfo.xlsx after duplicate removal
Records excluded at title/abstract screening,8523,8721 - 198
Reports sought for retrieval,198,181 full-text assessed + 17 not retrieved
Reports not retrieved,17,Unchanged retrieval count from PRISMA audit
Full-text reports assessed for eligibility,181,Unchanged full-text assessed references
Full-text reports excluded after orchid-pollinator eligibility check,17,181 - 164; previous 16 eligibility exclusions plus H169, which was removed as not an orchid pollinator
Studies included in global evidence base,164,Unique reference_no in corrected MainData after removing H169
Species observations in global evidence base,729,Rows in corrected MainData after removing H169
Reports excluded from quantitative meta-analysis,107,164 evidence-base publications - 57 quantitative meta-analysis publications; includes C1121 retained in evidence set but excluded from meta-analysis after row-level audit
Studies included in quantitative meta-analysis,57,Unique reference_no in corrected MetaData
Independent effect sizes in quantitative meta-analysis,257,Rows in corrected MetaData
