reference_no,start_year,end_year,publish_year,country,region,latitude,longitude,pollinator_order,pollinator_family,pollinator_species,study_method,trend,decline_value,sample_size,yi,vi,continent,driver
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,-0.33,50,-0.4004775665971253,0.02,North America,Multiple
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,-0.33,50,-0.4004775665971253,0.02,North America,Habitat
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,-0.33,50,-0.4004775665971253,0.02,North America,Pesticides
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,-0.33,50,-0.4004775665971253,0.02,North America,Pathogens
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus fraternus,Historical  + Field,Decline,-0.33,4,-0.4004775665971253,0.25,North America,Multiple
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus fraternus,Historical  + Field,Decline,-0.33,4,-0.4004775665971253,0.25,North America,Habitat
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus fraternus,Historical  + Field,Decline,-0.33,4,-0.4004775665971253,0.25,North America,Pesticides
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus fraternus,Historical  + Field,Decline,-0.33,4,-0.4004775665971253,0.25,North America,Pathogens
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,-0.33,160,-0.4004775665971253,0.00625,North America,Multiple
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,-0.33,160,-0.4004775665971253,0.00625,North America,Habitat
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,-0.33,160,-0.4004775665971253,0.00625,North America,Pesticides
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,-0.33,160,-0.4004775665971253,0.00625,North America,Pathogens
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus vagans,Historical  + Field,Decline,-0.33,91,-0.4004775665971253,0.0109890109890109,North America,Multiple
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus vagans,Historical  + Field,Decline,-0.33,91,-0.4004775665971253,0.0109890109890109,North America,Habitat
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus vagans,Historical  + Field,Decline,-0.33,91,-0.4004775665971253,0.0109890109890109,North America,Pesticides
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus vagans,Historical  + Field,Decline,-0.33,91,-0.4004775665971253,0.0109890109890109,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus affinis,Historical,Decline,-0.735,1563,-1.328025453,0.00064,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus affinis,Historical,Decline,-0.735,1563,-1.328025453,0.00064,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus affinis,Historical,Decline,-0.735,1563,-1.328025453,0.00064,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus affinis,Historical,Decline,-0.735,1563,-1.328025453,0.00064,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ashtoni,Historical,Decline,-0.653,941,-1.058430499,0.001062699,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ashtoni,Historical,Decline,-0.653,941,-1.058430499,0.001062699,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus ashtoni,Historical,Decline,-0.653,941,-1.058430499,0.001062699,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus auricomus,Historical,Decline,-0.508,493,-0.709276562,0.002028398,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus auricomus,Historical,Decline,-0.508,493,-0.709276562,0.002028398,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus auricomus,Historical,Decline,-0.508,493,-0.709276562,0.002028398,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fernaldae,Historical,Decline,-0.767,474,-1.456716825,0.002109705,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fernaldae,Historical,Decline,-0.767,474,-1.456716825,0.002109705,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fernaldae,Historical,Decline,-0.767,474,-1.456716825,0.002109705,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fernaldae,Historical,Decline,-0.767,474,-1.456716825,0.002109705,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fervidus,Historical,Decline,-0.448,3937,-0.594207233,0.000254,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fervidus,Historical,Decline,-0.448,3937,-0.594207233,0.000254,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fervidus,Historical,Decline,-0.448,3937,-0.594207233,0.000254,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fervidus,Historical,Decline,-0.448,3937,-0.594207233,0.000254,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fraternus,Historical,Decline,-0.727,145,-1.298283484,0.006896552,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fraternus,Historical,Decline,-0.727,145,-1.298283484,0.006896552,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fraternus,Historical,Decline,-0.727,145,-1.298283484,0.006896552,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus fraternus,Historical,Decline,-0.727,145,-1.298283484,0.006896552,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus frigidus,Historical,Decline,-0.429,1830,-0.560366069,0.000546,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus frigidus,Historical,Decline,-0.429,1830,-0.560366069,0.000546,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus frigidus,Historical,Decline,-0.429,1830,-0.560366069,0.000546,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus frigidus,Historical,Decline,-0.429,1830,-0.560366069,0.000546,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus griseocollis,Historical,Decline,-0.278,2870,-0.32573014,0.000348,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus griseocollis,Historical,Decline,-0.278,2870,-0.32573014,0.000348,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus griseocollis,Historical,Decline,-0.278,2870,-0.32573014,0.000348,North America,Pathogens
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus griseocollis,Historical,Decline,-0.278,2870,-0.32573014,0.000348,North America,Climate
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus insularis,Historical,Decline,-0.556,1025,-0.811930717,0.000976,North America,Multiple
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus insularis,Historical,Decline,-0.556,1025,-0.811930717,0.000976,North America,Habitat
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43.0,-79.0,Hymenoptera,Apidae,Bombus insularis,Historical,Decline,-0.556,1025,-0.811930717,0.000976,North America,Pathogens
