LEVEL3_NAM,area_code_l3,LEVEL2_COD,LEVEL1_COD,total,n_assessed,pc_assessed,n_ass_threat,pc_ass_threat,n_pred_threat,pc_threat_pred,n_endemic,pc_endemic,n_endem_assessed,pc_endem_assessed,n_endem_ass_threat,pc_endem_ass_threat,n_endem_pred_threat,pc_endem_threat_pred,island,no.sp
Alberta,ABT,71,7,30,9,0.3,2,0.2222222222222222,2,0.06666666666666667,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Afghanistan,AFG,34,3,18,4,0.2222222222222222,1,0.25,2,0.1111111111111111,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Argentina Northeast,AGE,85,8,187,7,0.0374331550802139,0,0,28,0.1497326203208556,7,0.0374331550802139,0,0,0,NA,28,1,FALSE,FALSE
Argentina South,AGS,85,8,26,0,0,0,NA,5,0.19230769230769232,NA,0,0,NA,0,NA,5,NA,FALSE,FALSE
Argentina Northwest,AGW,85,8,106,5,0.04716981132075472,0,0,15,0.14150943396226415,11,0.10377358490566038,0,0,0,NA,15,0.8181818181818182,FALSE,FALSE
Alabama,ALA,78,7,53,13,0.24528301886792453,3,0.23076923076923078,3,0.05660377358490566,NA,0,0,NA,0,NA,3,NA,FALSE,FALSE
Albania,ALB,13,1,65,10,0.15384615384615385,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Aldabra,ALD,29,2,3,1,0.3333333333333333,1,1,1,0.3333333333333333,NA,0,0,NA,0,NA,1,NA,TRUE,FALSE
Algeria,ALG,20,2,53,7,0.1320754716981132,0,0,1,0.018867924528301886,1,0.018867924528301886,0,0,0,NA,1,1,FALSE,FALSE
Altay,ALT,30,3,29,6,0.20689655172413793,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Aleutian Is.,ALU,70,7,17,6,0.35294117647058826,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Amur,AMU,31,3,28,6,0.21428571428571427,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Andaman Is.,AND,41,4,129,6,0.046511627906976744,2,0.3333333333333333,22,0.17054263565891473,16,0.12403100775193798,1,0.0625,1,1,22,1,TRUE,FALSE
Angola,ANG,26,2,242,19,0.07851239669421488,5,0.2631578947368421,25,0.10330578512396695,20,0.08264462809917356,0,0,0,NA,25,0.25,FALSE,FALSE
Arizona,ARI,76,7,27,7,0.25925925925925924,2,0.2857142857142857,2,0.07407407407407407,2,0.07407407407407407,1,0.5,1,1,2,0.5,FALSE,FALSE
Arkansas,ARK,78,7,38,6,0.15789473684210525,1,0.16666666666666666,2,0.05263157894736842,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Aruba,ARU,81,8,2,0,0,0,NA,0,0,NA,0,0,NA,0,NA,0,NA,TRUE,FALSE
Ascension,ASC,28,2,0,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,TRUE,TRUE
Alaska,ASK,70,7,30,10,0.3333333333333333,2,0.2,2,0.06666666666666667,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Amsterdam-St.Paul Is.,ASP,90,9,0,0,NA,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,TRUE,TRUE
Assam,ASS,40,4,719,34,0.04728789986091794,16,0.47058823529411764,118,0.16411682892906815,39,0.054242002781641166,1,0.02564102564102564,1,1,118,0.8461538461538461,FALSE,FALSE
Antipodean Is.,ATP,51,5,16,2,0.125,0,0,1,0.0625,NA,0,0,NA,0,NA,1,NA,TRUE,FALSE
Austria,AUT,11,1,75,21,0.28,5,0.23809523809523808,7,0.09333333333333334,3,0.04,0,0,0,NA,7,0.3333333333333333,FALSE,FALSE
Azores,AZO,21,2,5,1,0.2,1,1,2,0.4,3,0.6,1,0.3333333333333333,1,1,2,0.6666666666666666,TRUE,FALSE
Bahamas,BAH,81,8,59,9,0.15254237288135594,3,0.3333333333333333,12,0.2033898305084746,4,0.06779661016949153,0,0,0,NA,12,1,FALSE,FALSE
Baleares,BAL,12,1,41,4,0.0975609756097561,0,0,0,0,NA,0,0,NA,0,NA,0,NA,TRUE,FALSE
Bangladesh,BAN,40,4,274,16,0.058394160583941604,9,0.5625,16,0.058394160583941604,NA,0,0,NA,0,NA,16,NA,FALSE,FALSE
Benin,BEN,22,2,50,6,0.12,2,0.3333333333333333,2,0.04,NA,0,0,NA,0,NA,2,NA,FALSE,FALSE
Bermuda,BER,81,8,2,2,1,0,0,0,0,NA,0,0,NA,0,NA,0,NA,TRUE,FALSE
Belgium,BGM,11,1,53,13,0.24528301886792453,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Bismarck Archipelago,BIS,43,4,261,52,0.19923371647509577,10,0.19230769230769232,27,0.10344827586206896,53,0.20306513409961685,12,0.22641509433962265,6,0.5,27,0.4339622641509434,FALSE,FALSE
Burkina,BKN,22,2,27,2,0.07407407407407407,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Belarus,BLR,14,1,39,11,0.28205128205128205,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
Baltic States,BLT,14,1,38,9,0.23684210526315788,0,0,0,0,NA,0,0,NA,0,NA,0,NA,FALSE,FALSE
