reference_no,start_year,end_year,publish_year,country,region,latitude,longitude,pollinator_order,pollinator_family,pollinator_species,study_method,trend,drivers_reported,decline_value,sample_size,source_sheet,order_raw,family_raw,row_id,continent,x22,notes,x24,row_id_2,pollinator_order_norm,pollinator_family_norm,family_raw_norm,fig_s3_zhong_chu_xian_de_you_xiao_chuan_fen_zhe,x25,x26,x27,x28,x29,x30,order_key,yi,vi,effect_id,study_method_clean,pesticide,habitat,climate,pesticide_z,habitat_z,climate_z
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus affinis,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens",-0.32999999999999907,68,Hymenoptera,Hymenoptera,Apidae,5,North America,NA,NA,NA,5,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4004775665971239,0.01470588235294117,1,Historical + Field,0.6174102742497796,0.4957802598278254,0.4240992626634099,-0.1112015829615195,0.3369530575273485,-0.40305788435153406
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus fraternus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens",-0.32999999999999907,37,Hymenoptera,Hymenoptera,Apidae,6,North America,NA,NA,NA,6,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4004775665971239,0.02702702702702703,2,Historical + Field,0.6174102742497796,0.4957802598278254,0.4240992626634099,-0.1112015829615195,0.3369530575273485,-0.40305788435153406
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus pensylvanicus,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens",-0.32999999999999907,11130,Hymenoptera,Hymenoptera,Apidae,7,North America,NA,NA,NA,7,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4004775665971239,8.984725965858041e-5,3,Historical + Field,0.6174102742497796,0.4957802598278254,0.4240992626634099,-0.1112015829615195,0.3369530575273485,-0.40305788435153406
H1,1900,2007,2009,USA,Illinois,39.9858,-89.2089,Hymenoptera,Apidae,Bombus vagans,Historical  + Field,Decline,"Multiple, Habitat, Pesticides, Pathogens",-0.32999999999999907,328,Hymenoptera,Hymenoptera,Apidae,8,North America,NA,NA,NA,8,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4004775665971239,0.00304878048780487,4,Historical + Field,0.6174102742497796,0.4957802598278254,0.4240992626634099,-0.1112015829615195,0.3369530575273485,-0.40305788435153406
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus affinis,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.735,1563,Hymenoptera,Hymenoptera,Apidae,32,North America,NA,"H9: Decline_Value was derived from Table 1 ‘persistence’, defined as the proportion of re-sampled historical 50×50 km grid cells (cells with any Bombus record in 1864–1990 and sampled again in 1991–2009) that remained occupied by the focal species in 1991–2009.  We calculated Decline_Value as persistence − 1, which quantifies loss of occupancy within the re-sampled historical range (range persistence loss) rather than absolute abundance change.  Sample_Size is the species’ total number of specimen/occurrence records in the cleaned database (Table 2 ‘Total records’, 1864–2009).”",Melittidae（蜜蜂科的一个小分支，蜜蜂类）,32,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.3280254529959148,6.397952655150352e-4,5,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus ashtoni,Historical,Decline,"Multiple, Habitat, Pathogens",-0.653,941,Hymenoptera,Hymenoptera,Apidae,33,North America,NA,NA,Perilampidae（丽蜂科）,33,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.058430499035278,0.00106269925611052,6,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus auricomus,Historical,Decline,"Multiple, Habitat, Pathogens",-0.508,493,Hymenoptera,Hymenoptera,Apidae,34,North America,NA,NA,Pompilidae（蜘蛛蜂科）,34,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.709276562489829,0.00202839756592292,7,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus bimaculatus,Historical,Increase,NA,-0.163,2952,Hymenoptera,Hymenoptera,Apidae,35,North America,NA,NA,Pteromalidae（小蜂科）,35,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.17793120849266178,3.3875338753387534e-4,8,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus borealis,Historical,Decline,NA,-0.729,1067,Hymenoptera,Hymenoptera,Apidae,36,North America,NA,NA,Scelionidae（卵蜂科）,36,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.305636458102436,9.372071227741332e-4,9,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus citrinus,Historical,Decline,NA,-0.241,1202,Hymenoptera,Hymenoptera,Apidae,37,North America,NA,NA,Scoliidae（蝉蜂科）,37,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.27575350158650713,8.319467554076539e-4,10,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus fernaldae,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.767,474,Hymenoptera,Hymenoptera,Apidae,38,North America,NA,NA,Sphecidae（泥蜂科）,38,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.4567168254164369,0.00210970464135021,11,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus fervidus,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.448,3937,Hymenoptera,Hymenoptera,Apidae,39,North America,NA,NA,Tenthredinidae（叶蜂科）,39,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.5942072327050416,2.54000508001016e-4,12,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus fraternus,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.727,145,Hymenoptera,Hymenoptera,Apidae,40,North America,NA,NA,Thynnidae（兰蜂科，著名的兰科性欺骗授粉者）,40,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.2982834837971773,0.00689655172413793,13,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus frigidus,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.4290000000000001,1830,Hymenoptera,Hymenoptera,Apidae,41,North America,NA,NA,Tiphiidae（拟蝎蜂科）,41,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.5603660693261269,5.46448087431694e-4,14,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus griseocollis,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.278,2870,Hymenoptera,Hymenoptera,Apidae,42,North America,NA,NA,Torymidae（花蜂科）,42,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.32573014008931084,3.484320557491289e-4,15,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus impatiens,Historical,Increase,NA,-0.15900000000000003,9111,Hymenoptera,Hymenoptera,Apidae,43,North America,NA,NA,Vespidae（胡蜂科，含黄蜂、马蜂、长腹胡蜂等）,43,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.17316361900918903,1.097574360662935e-4,16,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus insularis,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.556,1025,Hymenoptera,Hymenoptera,Apidae,44,North America,NA,NA,NA,44,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.8119307165499124,9.75609756097561e-4,17,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus pensylvanicus,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.656,2024,Hymenoptera,Hymenoptera,Apidae,45,North America,NA,NA,NA,45,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.067113621608739,4.940711462450593e-4,18,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus perplexus,Historical,Stable,"Multiple, Habitat, Pathogens, Climate",-0.369,1735,Hymenoptera,Hymenoptera,Apidae,46,North America,NA,NA,NA,46,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.4604494164409239,5.763688760806917e-4,19,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus rufocinctus,Historical,Increase,NA,-0.332999999999999,2671,Hymenoptera,Hymenoptera,Apidae,47,North America,NA,NA,NA,47,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.40496523306651194,3.743916136278547e-4,20,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus sandersoni,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.732,472,Hymenoptera,Hymenoptera,Apidae,48,North America,NA,NA,NA,48,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-1.3167682984712803,0.00211864406779661,21,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus ternarius,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.278,2502,Hymenoptera,Hymenoptera,Apidae,49,North America,NA,NA,NA,49,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.32573014008931084,3.996802557953637e-4,22,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
H9,1864,2009,2012,"USA, Canada",Eastern Nearctic,43,-79,Hymenoptera,Apidae,Bombus terricola,Historical,Decline,"Multiple, Habitat, Pathogens, Climate",-0.482,3724,Hymenoptera,Hymenoptera,Apidae,50,North America,NA,NA,NA,50,hymenoptera,apidae,apidae,NA,NA,NA,NA,NA,NA,NA,hym,-0.657780036722654,2.685284640171858e-4,23,Historical,0.6905025585606137,0.6132229942233703,0.40168002491249244,0.1206159368282748,0.7501551604073166,-0.6668550150572857
