group_type,group,retained_cells,very_high_cells,high_cells,max_richness_in_retained_cells
Selected genus,Bulbophyllum,952,168,142,670
Selected genus,Caladenia,115,36,36,160
Selected genus,Corybas,256,70,34,51
Selected genus,Cymbidium,357,110,54,62
Selected genus,Cypripedium,913,48,92,27
Selected genus,Dendrobium,372,105,98,619
Selected genus,Disa,279,73,83,127
Selected genus,Orchis,274,103,58,34
Selected genus,Paphiopedilum,223,33,71,43
Selected genus,Phragmipedium,279,17,40,10
Selected genus,Platanthera,1069,105,151,31
Selected genus,Vanilla,791,90,116,24
Subfamily,Apostasioideae,220,58,47,10
Subfamily,Cypripedioideae,1307,112,125,70
Subfamily,Epidendroideae,1916,402,290,4092
Subfamily,Orchidoideae,1936,445,309,427
Subfamily,Vanilloideae,1170,106,202,69
Tribe,Diurideae,301,75,22,213
